!!SBtab Document='AKAP79' Version='1.0' TableName='X500nM_cAMPno_CaN_500_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0501T001	-15	100.833	0.879223
E0501T002	-10	101.065	0.617091
E0501T003	-5	100.741	1.19716
E0501T004	0	NA	NA
E0501T005	5	100.718	0.572498
E0501T006	10	101.505	0.262912
E0501T007	15	101.134	1.06875
E0501T008	20	102.315	0.318515
E0501T009	25	102.917	1.53291
E0501T010	30	103.218	1.48311
E0501T011	35	102.523	1.92798
E0501T012	40	105.116	2.10343
E0501T013	45	104.167	2.11482
E0501T014	50	105.255	2.12034
E0501T015	55	107.014	3.20424
E0501T016	60	108.542	2.44229
E0501T017	65	109.259	3.92091
E0501T018	70	110.185	3.77005
E0501T019	75	110.995	3.82318
E0501T020	80	112.384	4.28524
E0501T021	85	114.167	5.46597
E0501T022	90	115.833	5.01527
E0501T023	95	117.407	5.53455
E0501T024	100	118.218	5.10945
E0501T025	105	121.157	6.54232
E0501T026	110	120.185	5.21911
E0501T027	115	121.597	6.84939
E0501T028	120	124.051	7.10628
E0501T029	125	124.884	7.38407
E0501T030	130	126.042	6.99727
E0501T031	135	127.407	7.07319
E0501T032	140	127.593	7.21787
E0501T033	145	127.847	7.95932
E0501T034	150	130.486	7.59884
E0501T035	155	129.861	8.163
E0501T036	160	133.472	8.47045
E0501T037	165	131.713	8.41969
E0501T038	170	133.495	7.78773
E0501T039	175	136.62	8.74861
E0501T040	180	134.514	8.27011
E0501T041	185	136.829	8.80177
E0501T042	190	139.282	9.14977
E0501T043	195	139.653	8.98175
E0501T044	200	141.065	9.77027
E0501T045	205	140.255	9.85755
E0501T046	210	142.176	8.8333
E0501T047	215	141.505	10.198
E0501T048	220	143.403	9.89235
E0501T049	225	142.94	8.90113
E0501T050	230	147.361	9.69658
E0501T051	235	144.236	9.41978
E0501T052	240	144.491	9.74311
E0501T053	245	149.19	10.7523
E0501T054	250	150.046	10.0117
E0501T055	255	148.241	9.44603
E0501T056	260	150.162	8.89495
E0501T057	265	147.894	9.57818
E0501T058	270	150.671	8.61628
E0501T059	275	151.505	10.4944
E0501T060	280	151.898	8.42037
E0501T061	285	153.681	10.2538
E0501T062	290	153.333	9.03747
E0501T063	295	151.667	8.46146
E0501T064	300	152.5	9.26443
E0501T065	305	152.338	9.2764
E0501T066	310	155.833	10.2402
E0501T067	315	155.81	9.22891
E0501T068	320	153.935	8.52611
E0501T069	325	155.532	8.94181
E0501T070	330	155.787	8.97444
E0501T071	335	155.694	9.57685
E0501T072	340	157.199	9.18414
E0501T073	345	157.454	9.61779
E0501T074	350	158.634	9.39761
E0501T075	355	159.19	8.65492
E0501T076	360	156.227	9.90974
E0501T077	365	157.616	8.69232
E0501T078	370	156.667	7.73125
E0501T079	375	161.25	9.58684
E0501T080	380	159.375	8.70193
E0501T081	385	158.565	9.05977
E0501T082	390	160.532	10.1236
E0501T083	395	161.69	8.4145
E0501T084	400	160.741	7.98563
E0501T085	405	162.407	7.5876
E0501T086	410	161.019	8.99873
E0501T087	415	162.106	8.43215
E0501T088	420	164.051	8.91685
E0501T089	425	161.574	7.49295
E0501T090	430	163.241	7.91301
E0501T091	435	162.245	8.78259
E0501T092	440	162.5	8.37106
E0501T093	445	159.421	7.95662
E0501T094	450	162.106	6.56922
E0501T095	455	162.662	8.33911
E0501T096	460	165.139	6.62975
E0501T097	465	163.171	7.08866
E0501T098	470	165	7.7545
E0501T099	475	163.958	7.76954
E0501T100	480	162.801	8.44391
E0501T101	485	164.074	9.12378
E0501T102	490	165.694	8.56507
E0501T103	495	165.926	6.70332
E0501T104	500	163.958	6.52645
E0501T105	505	166.829	7.39818
E0501T106	510	165.694	7.54639
E0501T107	515	164.514	7.09773
E0501T108	520	164.421	6.75782
E0501T109	525	166.088	8.32985
E0501T110	530	166.944	7.03237
E0501T111	535	166.065	7.80515
E0501T112	540	166.713	6.56314
E0501T113	545	165.556	8.355
E0501T114	550	169.259	7.26975
E0501T115	555	167.87	6.6793
E0501T116	560	164.907	7.47949
E0501T117	565	169.074	7.24642
E0501T118	570	169.329	6.25193
E0501T119	575	166.319	7.28088
E0501T120	580	164.375	5.96383
E0501T121	585	166.412	6.19141
E0501T122	590	167.06	7.92008
E0501T123	595	169.306	6.46631
E0501T124	600	169.329	6.10531
E0501T125	605	169.028	5.67786
