time point	time	AKAR4pOUT
E0501T001	-15	1.0083(87)E2
E0501T002	-10	1.0107(61)E2
E0501T003	-5	1.007(11)E2
E0501T004	0	NA
E0501T005	5	1.0072(57)E2
E0501T006	10	1.0151(26)E2
E0501T007	15	1.01(1)E2
E0501T008	20	1.0232(31)E2
E0501T009	25	1.029(15)E2
E0501T010	30	1.032(14)E2
E0501T011	35	1.025(19)E2
E0501T012	40	1.051(21)E2
E0501T013	45	1.042(21)E2
E0501T014	50	1.053(21)E2
E0501T015	55	1.070(32)E2
E0501T016	60	1.085(24)E2
E0501T017	65	1.093(39)E2
E0501T018	70	1.102(37)E2
E0501T019	75	1.110(38)E2
E0501T020	80	1.124(42)E2
E0501T021	85	1.142(54)E2
E0501T022	90	1.16(5)E2
E0501T023	95	1.174(55)E2
E0501T024	100	1.182(51)E2
E0501T025	105	1.212(65)E2
E0501T026	110	1.202(52)E2
E0501T027	115	1.216(68)E2
E0501T028	120	1.241(71)E2
E0501T029	125	1.249(73)E2
E0501T030	130	1.260(69)E2
E0501T031	135	1.27(7)E2
E0501T032	140	1.276(72)E2
E0501T033	145	1.278(79)E2
E0501T034	150	1.305(75)E2
E0501T035	155	1.299(81)E2
E0501T036	160	1.335(84)E2
E0501T037	165	1.317(84)E2
E0501T038	170	1.335(77)E2
E0501T039	175	1.366(87)E2
E0501T040	180	1.345(82)E2
E0501T041	185	1.368(88)E2
E0501T042	190	1.393(91)E2
E0501T043	195	1.397(89)E2
E0501T044	200	1.411(97)E2
E0501T045	205	1.403(98)E2
E0501T046	210	1.422(88)E2
E0501T047	215	1.4(1)E2
E0501T048	220	1.434(98)E2
E0501T049	225	1.429(89)E2
E0501T050	230	1.474(96)E2
E0501T051	235	1.442(94)E2
E0501T052	240	1.445(97)E2
E0501T053	245	1.5(1)E2
E0501T054	250	1.5(1)E2
E0501T055	255	1.482(94)E2
E0501T056	260	1.502(88)E2
E0501T057	265	1.479(95)E2
E0501T058	270	1.507(86)E2
E0501T059	275	1.5(1)E2
E0501T060	280	1.519(84)E2
E0501T061	285	1.5(1)E2
E0501T062	290	1.53(9)E2
E0501T063	295	1.517(84)E2
E0501T064	300	1.525(92)E2
E0501T065	305	1.523(92)E2
E0501T066	310	1.6(1)E2
E0501T067	315	1.558(92)E2
E0501T068	320	1.539(85)E2
E0501T069	325	1.555(89)E2
E0501T070	330	1.558(89)E2
E0501T071	335	1.557(95)E2
E0501T072	340	1.572(91)E2
E0501T073	345	1.575(96)E2
E0501T074	350	1.586(93)E2
E0501T075	355	1.592(86)E2
E0501T076	360	1.562(99)E2
E0501T077	365	1.576(86)E2
E0501T078	370	1.567(77)E2
E0501T079	375	1.613(95)E2
E0501T080	380	1.594(87)E2
E0501T081	385	1.59(9)E2
E0501T082	390	1.6(1)E2
E0501T083	395	1.617(84)E2
E0501T084	400	1.607(79)E2
E0501T085	405	1.624(75)E2
E0501T086	410	1.610(89)E2
E0501T087	415	1.621(84)E2
E0501T088	420	1.641(89)E2
E0501T089	425	1.616(74)E2
E0501T090	430	1.632(79)E2
E0501T091	435	1.622(87)E2
E0501T092	440	1.625(83)E2
E0501T093	445	1.594(79)E2
E0501T094	450	1.621(65)E2
E0501T095	455	1.627(83)E2
E0501T096	460	1.651(66)E2
E0501T097	465	1.63(7)E2
E0501T098	470	1.650(77)E2
E0501T099	475	1.640(77)E2
E0501T100	480	1.628(84)E2
E0501T101	485	1.641(91)E2
E0501T102	490	1.657(85)E2
E0501T103	495	1.659(67)E2
E0501T104	500	1.640(65)E2
E0501T105	505	1.668(73)E2
E0501T106	510	1.657(75)E2
E0501T107	515	1.65(7)E2
E0501T108	520	1.644(67)E2
E0501T109	525	1.661(83)E2
E0501T110	530	1.67(7)E2
E0501T111	535	1.661(78)E2
E0501T112	540	1.667(65)E2
E0501T113	545	1.656(83)E2
E0501T114	550	1.693(72)E2
E0501T115	555	1.679(66)E2
E0501T116	560	1.649(74)E2
E0501T117	565	1.691(72)E2
E0501T118	570	1.693(62)E2
E0501T119	575	1.663(72)E2
E0501T120	580	1.644(59)E2
E0501T121	585	1.664(61)E2
E0501T122	590	1.671(79)E2
E0501T123	595	1.693(64)E2
E0501T124	600	1.693(61)E2
E0501T125	605	1.690(56)E2
