time point	time	AKAR4pOUT
E0402T001	-15	9.98(13)E1
E0402T002	-10	1.0002(63)E2
E0402T003	-5	1.0032(68)E2
E0402T004	0	NA
E0402T005	5	1.0076(73)E2
E0402T006	10	9.921(73)E1
E0402T007	15	1.0065(56)E2
E0402T008	20	1.0007(18)E2
E0402T009	25	9.866(88)E1
E0402T010	30	9.96(12)E1
E0402T011	35	1.006(18)E2
E0402T012	40	1.01(1)E2
E0402T013	45	1.0086(76)E2
E0402T014	50	1.0019(96)E2
E0402T015	55	1.0090(95)E2
E0402T016	60	1.025(15)E2
E0402T017	65	1.021(14)E2
E0402T018	70	1.03(2)E2
E0402T019	75	1.018(16)E2
E0402T020	80	1.02(2)E2
E0402T021	85	1.030(23)E2
E0402T022	90	1.046(21)E2
E0402T023	95	1.044(23)E2
E0402T024	100	1.05(2)E2
E0402T025	105	1.03(3)E2
E0402T026	110	1.050(25)E2
E0402T027	115	1.044(28)E2
E0402T028	120	1.049(31)E2
E0402T029	125	1.050(32)E2
E0402T030	130	1.069(35)E2
E0402T031	135	1.063(33)E2
E0402T032	140	1.060(37)E2
E0402T033	145	1.061(38)E2
E0402T034	150	1.062(34)E2
E0402T035	155	1.064(39)E2
E0402T036	160	1.064(41)E2
E0402T037	165	1.078(44)E2
E0402T038	170	1.084(48)E2
E0402T039	175	1.10(5)E2
E0402T040	180	1.102(51)E2
E0402T041	185	1.109(53)E2
E0402T042	190	1.097(55)E2
E0402T043	195	1.09(5)E2
E0402T044	200	1.100(53)E2
E0402T045	205	1.113(53)E2
E0402T046	210	1.124(56)E2
E0402T047	215	1.129(62)E2
E0402T048	220	1.126(59)E2
E0402T049	225	1.113(59)E2
E0402T050	230	1.139(66)E2
E0402T051	235	1.117(65)E2
E0402T052	240	1.127(63)E2
E0402T053	245	1.14(6)E2
E0402T054	250	1.150(69)E2
E0402T055	255	1.153(77)E2
E0402T056	260	1.142(59)E2
E0402T057	265	1.150(71)E2
E0402T058	270	1.15(7)E2
E0402T059	275	1.153(74)E2
E0402T060	280	1.153(71)E2
E0402T061	285	1.151(76)E2
E0402T062	290	1.155(74)E2
E0402T063	295	1.175(81)E2
E0402T064	300	1.187(79)E2
E0402T065	305	1.180(82)E2
E0402T066	310	1.18(8)E2
E0402T067	315	1.189(79)E2
E0402T068	320	1.20(8)E2
E0402T069	325	1.164(68)E2
E0402T070	330	1.184(75)E2
E0402T071	335	1.204(72)E2
E0402T072	340	1.21(8)E2
E0402T073	345	1.202(85)E2
E0402T074	350	1.20(9)E2
E0402T075	355	1.197(95)E2
E0402T076	360	1.209(83)E2
E0402T077	365	1.217(88)E2
E0402T078	370	1.216(85)E2
E0402T079	375	1.207(88)E2
E0402T080	380	1.209(79)E2
E0402T081	385	1.231(91)E2
E0402T082	390	1.225(92)E2
E0402T083	395	1.240(86)E2
E0402T084	400	1.234(92)E2
E0402T085	405	1.230(92)E2
E0402T086	410	1.2(1)E2
E0402T087	415	1.233(85)E2
E0402T088	420	1.244(94)E2
E0402T089	425	1.2(1)E2
E0402T090	430	1.237(87)E2
E0402T091	435	1.259(95)E2
E0402T092	440	1.2(1)E2
E0402T093	445	1.3(1)E2
E0402T094	450	1.241(94)E2
E0402T095	455	1.3(1)E2
E0402T096	460	1.269(94)E2
E0402T097	465	1.3(1)E2
E0402T098	470	1.278(97)E2
E0402T099	475	1.266(98)E2
E0402T100	480	1.3(1)E2
E0402T101	485	1.3(1)E2
E0402T102	490	1.269(98)E2
E0402T103	495	1.3(1)E2
E0402T104	500	1.29(11)E2
E0402T105	505	1.3(1)E2
E0402T106	510	1.29(11)E2
E0402T107	515	1.29(11)E2
E0402T108	520	1.29(11)E2
E0402T109	525	1.30(12)E2
E0402T110	530	1.30(11)E2
E0402T111	535	1.3(1)E2
E0402T112	540	1.3(1)E2
E0402T113	545	1.33(12)E2
E0402T114	550	1.3(1)E2
E0402T115	555	1.31(11)E2
E0402T116	560	1.3(1)E2
E0402T117	565	1.30(11)E2
E0402T118	570	1.32(12)E2
E0402T119	575	1.3(1)E2
E0402T120	580	1.3(1)E2
E0402T121	585	1.31(11)E2
E0402T122	590	1.32(11)E2
E0402T123	595	1.33(11)E2
E0402T124	600	1.33(11)E2
E0402T125	605	1.33(12)E2
