time point	time	AKAR4pOUT
E0403T001	-15	9.92(12)E1
E0403T002	-10	9.854(63)E1
E0403T003	-5	9.998(64)E1
E0403T004	0	NA
E0403T005	5	1.0002(62)E2
E0403T006	10	10.0(1)E1
E0403T007	15	9.993(62)E1
E0403T008	20	9.96(11)E1
E0403T009	25	9.817(59)E1
E0403T010	30	9.97(11)E1
E0403T011	35	9.850(69)E1
E0403T012	40	9.972(42)E1
E0403T013	45	9.87(11)E1
E0403T014	50	9.94(9)E1
E0403T015	55	9.963(84)E1
E0403T016	60	1.0002(81)E2
E0403T017	65	9.928(45)E1
E0403T018	70	1.0009(37)E2
E0403T019	75	9.96(18)E1
E0403T020	80	9.977(71)E1
E0403T021	85	1.009(13)E2
E0403T022	90	1.012(11)E2
E0403T023	95	1.005(15)E2
E0403T024	100	10.0(1)E1
E0403T025	105	10.00(21)E1
E0403T026	110	1.0016(98)E2
E0403T027	115	1.016(17)E2
E0403T028	120	1.019(14)E2
E0403T029	125	1.016(18)E2
E0403T030	130	1.005(14)E2
E0403T031	135	1.017(16)E2
E0403T032	140	1.014(13)E2
E0403T033	145	1.028(16)E2
E0403T034	150	1.014(12)E2
E0403T035	155	1.001(28)E2
E0403T036	160	1.023(18)E2
E0403T037	165	1.008(24)E2
E0403T038	170	1.003(14)E2
E0403T039	175	1.014(16)E2
E0403T040	180	1.019(23)E2
E0403T041	185	1.026(32)E2
E0403T042	190	1.018(22)E2
E0403T043	195	1.027(28)E2
E0403T044	200	1.012(21)E2
E0403T045	205	1.030(28)E2
E0403T046	210	1.022(26)E2
E0403T047	215	1.031(23)E2
E0403T048	220	1.023(19)E2
E0403T049	225	1.037(23)E2
E0403T050	230	1.044(29)E2
E0403T051	235	1.037(33)E2
E0403T052	240	1.030(28)E2
E0403T053	245	1.040(33)E2
E0403T054	250	1.03(3)E2
E0403T055	255	1.034(25)E2
E0403T056	260	1.027(24)E2
E0403T057	265	1.044(36)E2
E0403T058	270	1.045(39)E2
E0403T059	275	1.036(28)E2
E0403T060	280	1.043(39)E2
E0403T061	285	1.046(27)E2
E0403T062	290	1.039(35)E2
E0403T063	295	1.020(29)E2
E0403T064	300	1.033(33)E2
E0403T065	305	1.042(41)E2
E0403T066	310	1.053(37)E2
E0403T067	315	1.036(31)E2
E0403T068	320	1.055(37)E2
E0403T069	325	1.044(35)E2
E0403T070	330	1.050(37)E2
E0403T071	335	1.053(32)E2
E0403T072	340	1.056(42)E2
E0403T073	345	1.048(43)E2
E0403T074	350	1.047(39)E2
E0403T075	355	1.051(38)E2
E0403T076	360	1.044(41)E2
E0403T077	365	1.051(38)E2
E0403T078	370	1.047(45)E2
E0403T079	375	1.047(37)E2
E0403T080	380	1.065(36)E2
E0403T081	385	1.066(38)E2
E0403T082	390	1.054(34)E2
E0403T083	395	1.052(38)E2
E0403T084	400	1.064(46)E2
E0403T085	405	1.067(42)E2
E0403T086	410	1.055(37)E2
E0403T087	415	1.060(39)E2
E0403T088	420	1.069(45)E2
E0403T089	425	1.055(43)E2
E0403T090	430	1.076(37)E2
E0403T091	435	1.079(44)E2
E0403T092	440	1.066(54)E2
E0403T093	445	1.073(56)E2
E0403T094	450	1.07(5)E2
E0403T095	455	1.065(53)E2
E0403T096	460	1.070(51)E2
E0403T097	465	1.085(44)E2
E0403T098	470	1.079(53)E2
E0403T099	475	1.073(32)E2
E0403T100	480	1.068(48)E2
E0403T101	485	1.07(5)E2
E0403T102	490	1.09(5)E2
E0403T103	495	1.067(53)E2
E0403T104	500	1.067(52)E2
E0403T105	505	1.075(56)E2
E0403T106	510	1.102(53)E2
E0403T107	515	1.080(53)E2
E0403T108	520	1.081(41)E2
E0403T109	525	1.081(62)E2
E0403T110	530	1.081(46)E2
E0403T111	535	1.089(58)E2
E0403T112	540	1.102(52)E2
E0403T113	545	1.09(6)E2
E0403T114	550	1.082(55)E2
E0403T115	555	1.086(53)E2
E0403T116	560	1.097(61)E2
E0403T117	565	1.098(53)E2
E0403T118	570	1.080(58)E2
E0403T119	575	1.104(56)E2
E0403T120	580	1.098(51)E2
E0403T121	585	1.101(55)E2
E0403T122	590	1.095(59)E2
E0403T123	595	1.100(59)E2
E0403T124	600	1.087(53)E2
E0403T125	605	1.10(6)E2
