time point	time	AKAR4pOUT
E0203T001	-15	9.944(57)E1
E0203T002	-10	9.926(32)E1
E0203T003	-5	9.981(69)E1
E0203T004	0	NA
E0203T005	5	9.78(18)E1
E0203T006	10	9.806(89)E1
E0203T007	15	9.74(18)E1
E0203T008	20	9.74(17)E1
E0203T009	25	1.01(1)E2
E0203T010	30	9.76(12)E1
E0203T011	35	9.86(11)E1
E0203T012	40	9.9(1)E1
E0203T013	45	9.910(29)E1
E0203T014	50	9.84(11)E1
E0203T015	55	9.994(95)E1
E0203T016	60	9.889(28)E1
E0203T017	65	9.809(86)E1
E0203T018	70	9.91(12)E1
E0203T019	75	9.8(1)E1
E0203T020	80	9.870(45)E1
E0203T021	85	9.880(65)E1
E0203T022	90	9.81(19)E1
E0203T023	95	9.858(64)E1
E0203T024	100	1.0028(38)E2
E0203T025	105	9.892(45)E1
E0203T026	110	9.92(14)E1
E0203T027	115	1.000(13)E2
E0203T028	120	1.0025(29)E2
E0203T029	125	9.87(19)E1
E0203T030	130	9.858(43)E1
E0203T031	135	9.883(64)E1
E0203T032	140	9.92(15)E1
E0203T033	145	9.932(49)E1
E0203T034	150	9.858(49)E1
E0203T035	155	10.0(1)E1
E0203T036	160	1.0037(94)E2
E0203T037	165	1.0052(84)E2
E0203T038	170	1.002(13)E2
E0203T039	175	1.00(1)E2
E0203T040	180	9.932(52)E1
E0203T041	185	9.864(29)E1
E0203T042	190	1.00926(53)E2
E0203T043	195	9.960(64)E1
E0203T044	200	1.0052(37)E2
E0203T045	205	9.923(78)E1
E0203T046	210	9.892(83)E1
E0203T047	215	1.0028(92)E2
E0203T048	220	9.954(43)E1
E0203T049	225	9.948(88)E1
E0203T050	230	9.975(48)E1
E0203T051	235	9.94(6)E1
E0203T052	240	1.005(5)E2
E0203T053	245	9.981(89)E1
E0203T054	250	9.96(14)E1
E0203T055	255	1.0003(22)E2
E0203T056	260	1.0037(89)E2
E0203T057	265	9.997(84)E1
E0203T058	270	9.94(18)E1
E0203T059	275	1.0102(74)E2
E0203T060	280	9.95(13)E1
E0203T061	285	9.969(81)E1
E0203T062	290	10.0(1)E1
E0203T063	295	9.975(85)E1
E0203T064	300	9.867(72)E1
E0203T065	305	9.926(23)E1
E0203T066	310	9.86(16)E1
E0203T067	315	9.85(8)E1
E0203T068	320	9.89(11)E1
E0203T069	325	1.0068(24)E2
E0203T070	330	9.93(12)E1
E0203T071	335	9.96(11)E1
E0203T072	340	9.951(53)E1
E0203T073	345	1.0003(76)E2
E0203T074	350	9.86(11)E1
E0203T075	355	9.901(67)E1
E0203T076	360	9.997(59)E1
E0203T077	365	1.000(13)E2
E0203T078	370	1.0170(71)E2
E0203T079	375	1.0000(61)E2
E0203T080	380	9.972(95)E1
E0203T081	385	9.94(14)E1
E0203T082	390	9.988(29)E1
E0203T083	395	9.9(1)E1
E0203T084	400	9.988(83)E1
E0203T085	405	1.00864(61)E2
E0203T086	410	9.98(13)E1
E0203T087	415	9.957(98)E1
E0203T088	420	9.972(99)E1
E0203T089	425	10.00(11)E1
E0203T090	430	1.004(15)E2
E0203T091	435	9.95(11)E1
E0203T092	440	9.917(69)E1
E0203T093	445	1.010(15)E2
E0203T094	450	1.0009(69)E2
E0203T095	455	9.98(5)E1
E0203T096	460	9.84(8)E1
E0203T097	465	1.0145(48)E2
E0203T098	470	1.0139(57)E2
E0203T099	475	1.0028(29)E2
E0203T100	480	1.0031(48)E2
E0203T101	485	1.0130(42)E2
E0203T102	490	1.023(22)E2
E0203T103	495	1.0139(91)E2
E0203T104	500	10.00(15)E1
E0203T105	505	1.0142(85)E2
E0203T106	510	1.0124(69)E2
E0203T107	515	1.006(12)E2
E0203T108	520	1.0130(74)E2
E0203T109	525	1.0111(88)E2
E0203T110	530	9.93(11)E1
E0203T111	535	1.0080(46)E2
E0203T112	540	1.0086(61)E2
E0203T113	545	1.0096(37)E2
E0203T114	550	9.901(57)E1
E0203T115	555	1.0182(24)E2
E0203T116	560	1.006(12)E2
E0203T117	565	1.0028(51)E2
E0203T118	570	1.0062(57)E2
E0203T119	575	1.010(12)E2
E0203T120	580	1.0022(37)E2
E0203T121	585	1.0151(93)E2
E0203T122	590	1.0154(72)E2
E0203T123	595	1.0068(32)E2
E0203T124	600	1.0012(95)E2
E0203T125	605	1.0003(91)E2
