time point	time	AKAR4pOUT
E0201T001	-15	9.994(68)E1
E0201T002	-10	1.007(13)E2
E0201T003	-5	1.001(14)E2
E0201T004	0	NA
E0201T005	5	1.001(13)E2
E0201T006	10	1.005(16)E2
E0201T007	15	9.84(21)E1
E0201T008	20	1.010(11)E2
E0201T009	25	9.917(79)E1
E0201T010	30	9.95(12)E1
E0201T011	35	9.93(18)E1
E0201T012	40	9.83(16)E1
E0201T013	45	10.0(1)E1
E0201T014	50	1.003(17)E2
E0201T015	55	9.95(11)E1
E0201T016	60	9.8(1)E1
E0201T017	65	9.83(16)E1
E0201T018	70	9.966(53)E1
E0201T019	75	9.880(89)E1
E0201T020	80	9.963(63)E1
E0201T021	85	9.97(13)E1
E0201T022	90	9.9(1)E1
E0201T023	95	9.883(54)E1
E0201T024	100	10.0(1)E1
E0201T025	105	9.96(2)E1
E0201T026	110	9.849(75)E1
E0201T027	115	1.0059(82)E2
E0201T028	120	9.910(54)E1
E0201T029	125	1.0022(93)E2
E0201T030	130	1.0176(37)E2
E0201T031	135	1.01(1)E2
E0201T032	140	1.0037(74)E2
E0201T033	145	1.0102(45)E2
E0201T034	150	1.02(1)E2
E0201T035	155	1.0176(89)E2
E0201T036	160	1.017(11)E2
E0201T037	165	9.98(15)E1
E0201T038	170	1.0173(61)E2
E0201T039	175	1.011(13)E2
E0201T040	180	1.01(1)E2
E0201T041	185	1.023(13)E2
E0201T042	190	1.0241(97)E2
E0201T043	195	1.0148(73)E2
E0201T044	200	1.024(12)E2
E0201T045	205	1.0185(85)E2
E0201T046	210	1.026(23)E2
E0201T047	215	1.015(8)E2
E0201T048	220	1.025(28)E2
E0201T049	225	1.036(31)E2
E0201T050	230	1.024(13)E2
E0201T051	235	1.033(18)E2
E0201T052	240	1.028(15)E2
E0201T053	245	1.04(3)E2
E0201T054	250	1.045(21)E2
E0201T055	255	1.047(32)E2
E0201T056	260	1.052(21)E2
E0201T057	265	1.036(36)E2
E0201T058	270	1.049(31)E2
E0201T059	275	1.054(36)E2
E0201T060	280	1.038(35)E2
E0201T061	285	1.055(33)E2
E0201T062	290	1.060(25)E2
E0201T063	295	1.052(29)E2
E0201T064	300	1.071(22)E2
E0201T065	305	1.064(35)E2
E0201T066	310	1.053(33)E2
E0201T067	315	1.065(46)E2
E0201T068	320	1.06(3)E2
E0201T069	325	1.064(31)E2
E0201T070	330	1.071(34)E2
E0201T071	335	1.075(28)E2
E0201T072	340	1.077(41)E2
E0201T073	345	1.074(44)E2
E0201T074	350	1.094(47)E2
E0201T075	355	1.093(43)E2
E0201T076	360	1.087(34)E2
E0201T077	365	1.100(33)E2
E0201T078	370	1.090(52)E2
E0201T079	375	1.093(44)E2
E0201T080	380	1.066(41)E2
E0201T081	385	1.090(46)E2
E0201T082	390	1.095(45)E2
E0201T083	395	1.095(39)E2
E0201T084	400	1.098(45)E2
E0201T085	405	1.125(62)E2
E0201T086	410	1.115(62)E2
E0201T087	415	1.099(62)E2
E0201T088	420	1.115(48)E2
E0201T089	425	1.128(55)E2
E0201T090	430	1.108(51)E2
E0201T091	435	1.131(64)E2
E0201T092	440	1.134(53)E2
E0201T093	445	1.127(69)E2
E0201T094	450	1.133(52)E2
E0201T095	455	1.123(63)E2
E0201T096	460	1.14(5)E2
E0201T097	465	1.13(7)E2
E0201T098	470	1.138(52)E2
E0201T099	475	1.123(63)E2
E0201T100	480	1.144(64)E2
E0201T101	485	1.15(7)E2
E0201T102	490	1.160(67)E2
E0201T103	495	1.138(66)E2
E0201T104	500	1.145(71)E2
E0201T105	505	1.156(68)E2
E0201T106	510	1.159(75)E2
E0201T107	515	1.171(62)E2
E0201T108	520	1.165(72)E2
E0201T109	525	1.157(51)E2
E0201T110	530	1.174(77)E2
E0201T111	535	1.177(63)E2
E0201T112	540	1.182(64)E2
E0201T113	545	1.168(65)E2
E0201T114	550	1.171(64)E2
E0201T115	555	1.200(73)E2
E0201T116	560	1.173(56)E2
E0201T117	565	1.172(82)E2
E0201T118	570	1.169(61)E2
E0201T119	575	1.172(63)E2
E0201T120	580	1.186(72)E2
E0201T121	585	1.182(71)E2
E0201T122	590	1.183(72)E2
E0201T123	595	1.166(66)E2
E0201T124	600	1.197(64)E2
E0201T125	605	1.184(73)E2
