id	time	AKAR4pOUT
EVENTEXT01	605	1.0028(73)E2
EVENTEXT02	805	1.0003(91)E2
EVENTEXT03	1005	1.10(6)E2
EVENTEXT04	1205	1.33(12)E2
EVENTEXT05	1405	1.5336(97)E2
EVENTEXT06	1605	1.675(37)E2
