id	time	AKAR4pOUT
E400T001	-15	108.6;7.3975
E400T002	-10	111.35;7.46625
E400T003	-5	108.75;7.40125
E400T004	0	111.4;7.4675
E400T005	5	111.7;7.475
E400T006	10	113.25;7.51375
E400T007	15	117;7.6075
E400T008	20	120.7; 7.7
E400T009	25	121.475;7.71938
E400T010	30	125.275;7.81438
E400T011	35	126.925;7.85562
E400T012	40	129.65;7.92375
E400T013	45	132.825;8.00313
E400T014	50	136.65;8.09875
E400T015	55	137.675;8.12438
E400T016	60	139.175;8.16188
E400T017	65	143.875;8.27937
E400T018	70	143.65;8.27375
E400T019	75	147.725;8.37562
E400T020	80	147.625;8.37312
E400T021	85	149.35;8.41625
E400T022	90	152.325;8.49062
E400T023	95	153.5;8.52
E400T024	100	155.1;8.56
E400T025	105	157.85;8.62875
E400T026	110	158.6;8.6475
E400T027	115	159.025;8.65813
E400T028	120	162.325;8.74062
E400T029	125	163.85;8.77875
E400T030	130	164.325;8.79063
E400T031	135	162.6;8.7475
E400T032	140	165.8;8.8275
E400T033	145	167.875;8.87937
E400T034	150	171.25;8.96375
E400T035	155	169.325;8.91563
E400T036	160	169.225;8.91313
E400T037	165	170.975;8.95688
E400T038	170	171.65;8.97375
E400T039	175	173.025;9.00812
E400T040	180	173;9.0075
E400T041	185	172.525;8.99563
E400T042	190	173.525;9.02063
E400T043	195	173.9;9.03
E400T044	200	176.625;9.09812
E400T045	205	175.775;9.07688
E400T046	210	179.05;9.15875
E400T047	215	176.25;9.08875
E400T048	220	177.4;9.1175
E400T049	225	175.65;9.07375
E400T050	230	178.125;9.13563
E400T051	235	180.825;9.20312
E400T052	240	177.45;9.11875
E400T053	245	179.25;9.16375
E400T054	250	177.6;9.1225
E400T055	255	180.825;9.20312
E400T056	260	177.425;9.11813
E400T057	265	180.925;9.20563
E400T058	270	181.075;9.20937
E400T059	275	179.825;9.17812
E400T060	280	180.95;9.20625
E400T061	285	180.95;9.20625
E400T062	290	183.55;9.27125
E400T063	295	179.6;9.1725
E400T064	300	181.075;9.20937
E400T065	305	181.825;9.22813
E400T066	310	181.05;9.20875
E400T067	315	183.925;9.28063
E400T068	320	182.25;9.23875
E400T069	325	183.95;9.28125
E400T070	330	183.575;9.27187
E400T071	335	183.9;9.28
E400T072	340	180.875;9.20438
E400T073	345	182;9.2325
E400T074	350	182.4;9.2425
E400T075	355	182.875;9.25437
E400T076	360	180.325;9.19063
E400T077	365	181.45;9.21875
E400T078	370	182.125;9.23563
E400T079	375	184.775;9.30188
E400T080	380	182.125;9.23563
E400T081	385	184.775;9.30188
E400T082	390	181.825;9.22813
E400T083	395	184.5;9.295
E400T084	400	183.1;9.26
E400T085	405	184;9.2825
E400T086	410	186.725;9.35063
E400T087	415	180.325;9.19063
E400T088	420	183.875;9.27937
E400T089	425	183.175;9.26187
E400T090	430	183.875;9.27937
E400T091	435	184.3;9.29
E400T092	440	184.35;9.29125
E400T093	445	182.225;9.23813
E400T094	450	184.1;9.285
E400T095	455	185.275;9.31438
E400T096	460	182.15;9.23625
E400T097	465	185.25;9.31375
E400T098	470	182.725;9.25062
E400T099	475	181.15;9.21125
E400T100	480	182.225;9.23813
E400T101	485	183.275;9.26438
E400T102	490	182.825;9.25313
E400T103	495	184.275;9.28937
E400T104	500	185.375;9.31687
E400T105	505	185.1;9.31
E400T106	510	184.025;9.28313
E400T107	515	185.575;9.32188
E400T108	520	184.75;9.30125
E400T109	525	183.775;9.27688
E400T110	530	181.8;9.2275
E400T111	535	184.375;9.29188
E400T112	540	181.4;9.2175
E400T113	545	186.725;9.35063
E400T114	550	184.875;9.30438
E400T115	555	184.625;9.29813
E400T116	560	183.775;9.27688
E400T117	565	183.2;9.2625
E400T118	570	187.3;9.365
E400T119	575	183.575;9.27187
E400T120	580	186.85;9.35375
E400T121	585	186.2;9.3375
E400T122	590	184.975;9.30687
E400T123	595	184.55;9.29625
E400T124	600	184.45;9.29375
E400T125	605	185.1;9.31
E400T126	610	184.575;9.29688
E400T127	615	182.55;9.24625
E400T128	620	184.425;9.29312
E400T129	625	183.325;9.26562
