id	time	AKAR4pOUT
E25T202	990	134.625;6.81875
E25T203	995	135.175;6.8325
E25T204	1000	133.45;6.78937
E25T205	1005	134.675;6.82
E25T206	1010	133.125;6.78125
E25T207	1015	134.375;6.8125
E25T208	1020	134.85;6.82437
E25T209	1025	137.95;6.90188
E25T210	1030	134.4;6.81313
E25T211	1035	134.225;6.80875
E25T212	1040	137.45;6.88937
E25T213	1045	134.925;6.82625
E25T214	1050	135.65;6.84438
E25T215	1055	135.975;6.8525
E25T216	1060	136.25;6.85938
E25T217	1065	137.775;6.8975
E25T218	1070	136.75;6.87188
E25T219	1075	135.7;6.84563
E25T220	1080	135.95;6.85187
E25T221	1085	138.125;6.90625
E25T222	1090	135.5;6.84063
E25T223	1095	137.15;6.88188
E25T224	1100	137.35;6.88687
E25T225	1105	136.4;6.86313
