id	time	AKAR4pOUT
E100T001	-15	109.6;7.205
E100T002	-10	109.775;7.20937
E100T003	-5	109.55;7.20375
E100T004	0	113.375;7.29937
E100T005	5	110.15;7.21875
E100T006	10	110.475;7.22687
E100T007	15	110.775;7.23438
E100T008	20	111.125;7.24313
E100T009	25	111.625;7.25563
E100T010	30	111.45;7.25125
E100T011	35	114.05;7.31625
E100T012	40	113.7;7.3075
E100T013	45	114.525;7.32812
E100T014	50	114.775;7.33437
E100T015	55	115.8;7.36
E100T016	60	116.825;7.38563
E100T017	65	115.775;7.35938
E100T018	70	116.25;7.37125
E100T019	75	117.775;7.40938
E100T020	80	117.4; 7.4
E100T021	85	117.525;7.40313
E100T022	90	118.3;7.4225
E100T023	95	120.075;7.46687
E100T024	100	120.05;7.46625
E100T025	105	120.525;7.47813
E100T026	110	122.4;7.525
E100T027	115	121.675;7.50687
E100T028	120	120.275;7.47188
E100T029	125	123.05;7.54125
E100T030	130	121.95;7.51375
E100T031	135	122.025;7.51562
E100T032	140	121.775;7.50938
E100T033	145	124.4;7.575
E100T034	150	125.775;7.60938
E100T035	155	127.025;7.64062
E100T036	160	126.775;7.63438
E100T037	165	125.95;7.61375
E100T038	170	126.225;7.62063
E100T039	175	126.5;7.6275
E100T040	180	128;7.665
E100T041	185	127.825;7.66062
E100T042	190	128.25;7.67125
E100T043	195	129.725;7.70812
E100T044	200	129.125;7.69313
E100T045	205	129.75;7.70875
E100T046	210	133;7.79
E100T047	215	132.8;7.785
E100T048	220	131.975;7.76437
E100T049	225	132.95;7.78875
E100T050	230	134.1;7.8175
E100T051	235	133.975;7.81438
E100T052	240	131.375;7.74938
E100T053	245	133.325;7.79812
E100T054	250	133.4; 7.8
E100T055	255	135.25;7.84625
E100T056	260	137.975;7.91437
E100T057	265	136.6;7.88
E100T058	270	137.575;7.90437
E100T059	275	137.275;7.89687
E100T060	280	138.05;7.91625
E100T061	285	137.725;7.90813
E100T062	290	136.8;7.885
E100T063	295	137.95;7.91375
E100T064	300	138.95;7.93875
E100T065	305	139.225;7.94562
E100T066	310	139.125;7.94313
E100T067	315	141.825;8.01062
E100T068	320	141.25;7.99625
E100T069	325	142.675;8.03187
E100T070	330	143.3;8.0475
E100T071	335	142.35;8.02375
E100T072	340	142.95;8.03875
E100T073	345	144.45;8.07625
E100T074	350	144.625;8.08062
E100T075	355	145.1;8.0925
E100T076	360	144.2;8.07
E100T077	365	144.55;8.07875
E100T078	370	144.225;8.07062
E100T079	375	144.225;8.07062
E100T080	380	146.45;8.12625
E100T081	385	146.675;8.13188
E100T082	390	149.075;8.19187
E100T083	395	147.6;8.155
E100T084	400	146.85;8.13625
E100T085	405	147.025;8.14062
E100T086	410	149.1;8.1925
E100T087	415	150.825;8.23562
E100T088	420	149.275;8.19688
E100T089	425	151.7;8.2575
E100T090	430	151.425;8.25062
E100T091	435	148.55;8.17875
E100T092	440	150.725;8.23312
E100T093	445	151.75;8.25875
E100T094	450	150.35;8.22375
E100T095	455	152.275;8.27187
E100T096	460	152.775;8.28438
E100T097	465	152.625;8.28063
E100T098	470	151.85;8.26125
E100T099	475	152.525;8.27812
E100T100	480	152.275;8.27187
E100T101	485	154.275;8.32188
E100T102	490	154.4;8.325
E100T103	495	155.175;8.34437
E100T104	500	155.025;8.34062
E100T105	505	157.325;8.39813
E100T106	510	156.1;8.3675
E100T107	515	154.25;8.32125
E100T108	520	155.075;8.34187
E100T109	525	157.625;8.40563
E100T110	530	156.975;8.38937
E100T111	535	156.35;8.37375
E100T112	540	157.65;8.40625
E100T113	545	160.025;8.46562
E100T114	550	158.275;8.42188
E100T115	555	157.7;8.4075
E100T116	560	159.725;8.45812
E100T117	565	159.025;8.44063
E100T118	570	159.25;8.44625
E100T119	575	159.325;8.44812
E100T120	580	158.575;8.42938
E100T121	585	159.15;8.44375
E100T122	590	161.95;8.51375
E100T123	595	159.8;8.46
E100T124	600	159.275;8.44688
E100T125	605	159.875;8.46187
E100T126	610	161.125;8.49312
E100T127	615	161.2;8.495
E100T128	620	162.3;8.5225
E100T129	625	161.25;8.49625
E100T130	630	162.3;8.5225
E100T131	635	164.55;8.57875
E100T132	640	162.625;8.53063
E100T133	645	163.65;8.55625
E100T134	650	162.05;8.51625
E100T135	655	162.075;8.51687
E100T136	660	163.5;8.5525
E100T137	665	164.525;8.57812
E100T138	670	163.65;8.55625
E100T139	675	164.475;8.57688
E100T140	680	166.375;8.62438
E100T141	685	165.1;8.5925
E100T142	690	161.95;8.51375
E100T143	695	166.6;8.63
E100T144	700	163.8;8.56
E100T145	705	165.05;8.59125
E100T146	710	164.175;8.56938
E100T147	715	165.975;8.61437
E100T148	720	166.275;8.62187
E100T149	725	166.65;8.63125
E100T150	730	167.325;8.64813
E100T151	735	167.95;8.66375
E100T152	740	166.85;8.63625
E100T153	745	166.4;8.625
E100T154	750	166.975;8.63938
E100T155	755	169.2;8.695
E100T156	760	170.35;8.72375
E100T157	765	169.6;8.705
E100T158	770	167.975;8.66437
E100T159	775	168.6;8.68
E100T160	780	167.425;8.65063
E100T161	785	167.425;8.65063
E100T162	790	168.275;8.67188
E100T163	795	168.825;8.68562
E100T164	800	169.3;8.6975
E100T165	805	170.775;8.73438
E100T166	810	169.475;8.70188
E100T167	815	170.15;8.71875
E100T168	820	171.675;8.75688
E100T169	825	170.45;8.72625
E100T170	830	170.85;8.73625
E100T171	835	170.7;8.7325
E100T172	840	169.9;8.7125
E100T173	845	170.725;8.73313
