id	Ca_set	ActivePP2B	ActivePP2B
E3D0	446.7	10.47	34.908
E3D1	676.1	36.99	34.908
E3D2	1023.3	67.89	34.908
E3D3	1479.1	88.41	34.908
E3D4	3090.3	97.74	34.908
