!!SBtab	Document='CaMKIIs' TableName='EventScheduleStemmer1993Fig1fc'		
!TimePoint	!Time	!Transformation	!Dose
StF1fcTPinit	-400	Activation	0
StF1fcTP01	0	CaSeq	446.7
StF1fcTP02	10	CaSeq	676.1
StF1fcTP03	20	CaSeq	1023.3
StF1fcTP04	30	CaSeq	1479.1
StF1fcTP05	40	CaSeq	2187.8
StF1fcTP06	50	CaSeq	3090.3
StF1fcTP07	60	CaSeq	5623.4
StF1fcTP08	70	CaSeq	9772.4
