!!SBtab	Document='CaMKIIs' TableName='EventScheduleStemmer1993Fig1tr'		
!TimePoint	!Time	!Transformation	!Dose
StF1trTPinit	-400	Activation	0
StF1trTP01	0	CaSeq	446.7
StF1trTP02	10	CaSeq	676.1
StF1trTP03	20	CaSeq	1023.3
StF1trTP04	30	CaSeq	1479.1
StF1trTP05	40	CaSeq	3090.3
